Year,Tm,DrAV
2006,PIT,8.11111111111111
2006,SDG,16.25
2006,SEA,10.833333333333334
2006,SFO,13.0
2006,STL,3.2
2006,TAM,7.8
2006,TEN,11.6
2006,WAS,15.666666666666666
2007,ARI,12.8
2007,ATL,13.181818181818182
2007,BAL,19.857142857142858
2007,BUF,7.571428571428571
2007,CAR,22.375
2007,CHI,5.444444444444445
2007,CIN,10.0
2007,CLE,17.714285714285715
2007,DAL,13.0
2007,DEN,10.25
2007,DET,12.25
2007,GNB,11.272727272727273
2007,HOU,10.0
2007,IND,7.444444444444445
2007,JAX,8.454545454545455
2007,KAN,10.142857142857142
2007,MIA,9.7
2007,MIN,20.25
2007,NOR,10.714285714285714
2007,NWE,2.5555555555555554
2007,NYG,16.25
2007,NYJ,38.5
2007,OAK,7.181818181818182
2007,PHI,7.75
2007,PIT,20.25
2007,SDG,15.0
2007,SEA,10.125
2007,SFO,29.0
2007,STL,3.75
2007,TAM,9.7
2007,TEN,9.0
2007,WAS,7.0
2008,ARI,16.714285714285715
2008,ATL,26.90909090909091
2008,BAL,17.5
2008,BUF,7.9
2008,CAR,13.88888888888889
2008,CHI,12.0
2008,CIN,6.6
2008,CLE,7.0
2008,DAL,14.333333333333334
2008,DEN,10.555555555555555
2008,DET,9.222222222222221
2008,GNB,20.11111111111111
2008,HOU,12.571428571428571
2008,IND,8.666666666666666
2008,JAX,3.6
2008,KAN,15.75
2008,MIA,11.11111111111111
2008,MIN,11.6
2008,NOR,15.5
2008,NWE,8.571428571428571
2008,NYG,9.142857142857142
2008,NYJ,6.166666666666667
2008,OAK,13.8
2008,PHI,8.1
2008,PIT,5.142857142857143
2008,SDG,5.2
2008,SEA,8.714285714285714
2008,SFO,6.833333333333333
2008,STL,10.0
2008,TAM,9.0
2008,TEN,13.857142857142858
2008,WAS,5.0
2009,ARI,7.0
2009,ATL,9.875
2009,BAL,12.833333333333334
2009,BUF,13.375
2009,CAR,6.571428571428571
2009,CHI,7.0
2009,CIN,15.363636363636363
2009,CLE,7.125
2009,DAL,1.0
2009,DEN,5.7
2009,DET,20.1
2009,GNB,23.25
2009,HOU,14.25
2009,IND,11.375
2009,JAX,12.0
2009,KAN,4.875
2009,MIA,9.11111111111111
2009,MIN,22.2
2009,NOR,14.5
2009,NWE,14.25
2009,NYG,9.222222222222221
2009,NYJ,20.0
2009,OAK,7.571428571428571
2009,PHI,12.0
2009,PIT,8.222222222222221
2009,SDG,7.875
2009,SEA,7.714285714285714
2009,SFO,6.0
2009,STL,11.285714285714286
2009,TAM,11.666666666666666
2009,TEN,8.0
2009,WAS,6.0
2010,ARI,11.714285714285714
2010,ATL,9.571428571428571
2010,BAL,8.142857142857142
2010,BUF,5.888888888888889
2010,CAR,6.0
2010,CHI,9.2
2010,CIN,20.0
2010,CLE,11.5
2010,DAL,19.833333333333332
2010,DEN,16.88888888888889
2010,DET,15.833333333333334
2010,GNB,23.142857142857142
2010,HOU,8.444444444444445
2010,IND,5.375
2010,JAX,7.5
2010,KAN,16.571428571428573
2010,MIA,15.875
2010,MIN,11.75
2010,NOR,11.833333333333334
2010,NWE,16.833333333333332
2010,NYG,9.857142857142858
2010,NYJ,5.75
2010,OAK,8.444444444444445
2010,PHI,9.923076923076923
